source_file,party_name,order_no,order_date,item,type,size,quantity,notes
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,90,2,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,85,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,80,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,75,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,70,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,65,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,60,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Loose Full Pant,18,55,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,90,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,85,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,80,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,75,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,70,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,65,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,60,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R=47y9 fullPmArst ent,20,55,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,45,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,50,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,55,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,60,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,65,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,70,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,75,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,80,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,R4748fu110011e4,22,85,8,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,80,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,75,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,70,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,65,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,60,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,55,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,B Gentle Full Pant,24,50,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,26,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,55,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,60,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,65,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,70,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,75,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,80,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,85,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,90,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,95,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,5109 7/4 set,26,100,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,28,3,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,60,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,65,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,70,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,75,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,80,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,85,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,90,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,251111uset,28,95,5,Old Rate Supply Only
sample 3.jpeg,A.T Dibbawudas,,31/03/2026,Super Boy,,,,Old Rate Supply Only
