timestamp_utc,image,model,mode,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,estimated_cost_usd
2026-08-06T11:39:43+00:00,sample 3.jpeg,claude-sonnet-5,live,1507,0,2912,18231,0.192604
2026-08-06T14:04:48+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,2912,14761,0.157976
2026-08-07T10:05:10+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3476,10167,0.113446
2026-08-07T10:05:47+00:00,sample 4.jpeg,claude-sonnet-5,live-recount,5084,0,1909,3886,0.053801
2026-08-07T11:10:04+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3902,10483,0.117671
2026-08-07T11:13:07+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row,12531,0,1909,16000,0.189834
2026-08-07T11:16:19+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3902,9116,0.104001
2026-08-07T11:18:34+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row,12348,0,1909,12939,0.158859
2026-08-07T11:23:24+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3902,14193,0.154771
2026-08-07T11:25:31+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row,13532,0,2146,13070,0.163129
2026-08-07T12:20:14+00:00,sample 7.jpeg,claude-sonnet-5,live,2281,0,3902,5520,0.069517
2026-08-07T12:21:18+00:00,sample 7.jpeg,claude-sonnet-5,live-recount-per-row,9406,0,2146,4155,0.065727
2026-08-07T12:36:15+00:00,sample 7.jpeg,claude-sonnet-5,live,2281,0,3902,10690,0.121217
2026-08-07T12:36:30+00:00,sample 7.jpeg,claude-sonnet-5,live-recount-per-row,8588,0,2146,1526,0.037801
2026-08-07T12:38:46+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,3902,0,10378,0.107646
2026-08-07T12:44:37+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row,14729,2146,0,31689,0.346777
2026-08-07T13:05:06+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3902,15510,0.167941
2026-08-07T13:10:48+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row,14164,0,2146,32000,0.353693
2026-08-07T13:18:27+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3902,12222,0.135061
2026-08-07T13:23:48+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row,14165,0,2146,28541,0.319105
2026-08-08T05:57:43+00:00,sample 4.jpeg,claude-sonnet-5,live,1543,0,3902,7472,0.087561
2026-08-08T05:58:30+00:00,sample 4.jpeg,claude-sonnet-5,live-recount-per-row-x12,14006,12288,12288,11633,0.177520
2026-08-08T06:12:03+00:00,sample 2.jpeg,claude-sonnet-5,live,2095,0,3902,5313,0.067075
2026-08-08T06:12:29+00:00,sample 2.jpeg,claude-sonnet-5,live-recount-whole-table,5063,0,2217,2977,0.045438
2026-08-08T06:35:06+00:00,sample 2.jpeg,claude-sonnet-5,live,2095,0,4853,8633,0.102652
2026-08-08T06:35:44+00:00,sample 2.jpeg,claude-sonnet-5,live-recount-whole-table,5027,0,2217,4696,0.062557
2026-08-08T07:16:12+00:00,sample 8.jpeg,claude-sonnet-5,live,1020,0,5577,6830,0.084282
2026-08-08T07:17:24+00:00,sample 8.jpeg,claude-sonnet-5,live-recount-per-row-x10,7644,17248,7392,14575,0.182968
2026-08-11T09:57:20+00:00,sample 5.jpeg,claude-sonnet-5,live,2839,0,5577,9650,0.116121
2026-08-11T09:57:53+00:00,sample 5.jpeg,claude-sonnet-5,live-recount-per-row-x14,6919,19712,14784,9277,0.147510
