timestamp_utc,image,model,mode,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,estimated_cost_usd,duration_seconds,error
2026-08-11T06:22:55+00:00,sample 5.jpeg,gemma4:31b,main,2895,,,2960,,30.720,
2026-08-11T06:23:27+00:00,sample 5.jpeg,gemma4:31b,recount-per-row-x14,21603,,,2165,,31.518,
2026-08-11T06:23:27+00:00,sample 5.jpeg,gemma4:31b,total,,,,,,62.359,
2026-08-11T06:25:22+00:00,sample 4.jpeg,gemma4:31b,main,2909,,,3749,,27.698,
2026-08-11T06:25:53+00:00,sample 4.jpeg,gemma4:31b,recount-per-row-x12,18445,,,1800,,30.559,
2026-08-11T06:25:53+00:00,sample 4.jpeg,gemma4:31b,total,,,,,,58.474,
2026-08-11T06:26:19+00:00,sample 7.jpeg,gemma4:31b,main,2894,,,1637,,15.124,
2026-08-11T06:26:39+00:00,sample 7.jpeg,gemma4:31b,recount-per-row-x7,10673,,,923,,19.269,
2026-08-11T06:26:39+00:00,sample 7.jpeg,gemma4:31b,total,,,,,,34.535,
2026-08-11T10:00:30+00:00,sample 3.jpeg,gemma4:31b,main,2894,,,4657,,48.038,
2026-08-11T10:03:36+00:00,sample 3.jpeg,gemma4:31b,recount-per-row-x20,29940,,,3118,,186.058,
2026-08-11T10:03:36+00:00,sample 3.jpeg,gemma4:31b,total,,,,,,234.348,
2026-08-14T05:17:05+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,5801,,,1956,,31.711,
2026-08-14T05:17:05+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,31.756,
2026-08-14T05:55:36+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6032,,,1800,,28.122,
2026-08-14T05:55:36+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,28.162,
2026-08-14T06:12:31+00:00,sample 2.jpeg,mistral-large-3:675b,main-attempt1,6215,,,1740,,29.401,
2026-08-14T06:12:31+00:00,sample 2.jpeg,mistral-large-3:675b,total,,,,,,29.438,
2026-08-14T06:25:18+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,7165,,,2060,,35.023,
2026-08-14T06:25:18+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,35.037,
2026-08-14T06:28:59+00:00,sample 5.jpeg,mistral-large-3:675b,main-attempt1,6965,,,2068,,33.728,
2026-08-14T06:28:59+00:00,sample 5.jpeg,mistral-large-3:675b,total,,,,,,33.742,
2026-08-14T06:47:59+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1737,,29.727,
2026-08-14T06:47:59+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,29.741,
2026-08-14T09:34:21+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5295,,,1836,,32.766,
2026-08-14T09:34:21+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,32.783,
2026-08-14T09:36:49+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1831,,29.233,
2026-08-14T09:36:49+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,29.246,
2026-08-14T09:53:37+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1770,,34.244,
2026-08-14T09:53:55+00:00,sample 8.jpeg,mistral-large-3:675b,recount-per-row-x10,15053,,,1649,,17.919,
2026-08-14T09:53:55+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,52.249,
2026-08-14T10:02:35+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1814,,37.598,
2026-08-14T10:02:46+00:00,sample 8.jpeg,mistral-large-3:675b,recount-per-row-x10,5073,,,610,,10.773,
2026-08-14T10:02:46+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,48.450,
2026-08-14T10:04:12+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1736,,26.860,
2026-08-14T10:04:24+00:00,sample 8.jpeg,mistral-large-3:675b,recount-per-row-x10,5073,,,537,,12.339,
2026-08-14T10:04:24+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,39.307,
2026-08-14T10:16:31+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1767,,35.256,
2026-08-14T10:17:00+00:00,sample 8.jpeg,mistral-large-3:675b,recount-per-row-x10,5129,,,609,,8.770,
2026-08-14T10:17:01+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,64.602,
2026-08-14T10:23:23+00:00,sample 8.jpeg,mistral-large-3:675b,main-attempt1,5115,,,1797,,27.539,
2026-08-14T10:27:47+00:00,sample 8.jpeg,mistral-large-3:675b,recount-per-row-x10,4686,,,581,,9.397,
2026-08-14T10:27:47+00:00,sample 8.jpeg,mistral-large-3:675b,total,,,,,,291.450,
2026-08-14T10:37:37+00:00,sample 8 manual crop.jpg,mistral-large-3:675b,main-attempt1,4939,,,1742,,29.702,
2026-08-14T10:38:05+00:00,sample 8 manual crop.jpg,mistral-large-3:675b,recount-per-row-x10,4526,,,715,,8.698,
2026-08-14T10:38:05+00:00,sample 8 manual crop.jpg,mistral-large-3:675b,total,,,,,,57.813,
2026-08-14T10:44:24+00:00,sample 8 manual crop.jpg,mistral-large-3:675b,main-attempt1,4939,,,1742,,31.506,
2026-08-14T10:44:24+00:00,sample 8 manual crop.jpg,mistral-large-3:675b,total,,,,,,31.523,
2026-08-14T11:16:52+00:00,sample 10.jpeg,mistral-large-3:675b,main-attempt1,4719,,,2230,,43.447,
2026-08-14T11:16:52+00:00,sample 10.jpeg,mistral-large-3:675b,total,,,,,,43.464,
2026-08-14T11:29:06+00:00,sample 10.jpeg,mistral-large-3:675b,main-attempt1,4956,,,3061,,48.828,
2026-08-14T11:29:06+00:00,sample 10.jpeg,mistral-large-3:675b,total,,,,,,48.844,
2026-08-14T12:13:01+00:00,sample 10 crop.jpg,mistral-large-3:675b,main-attempt1,4691,,,2153,,33.230,
2026-08-14T12:13:01+00:00,sample 10 crop.jpg,mistral-large-3:675b,total,,,,,,33.249,
2026-08-14T12:22:08+00:00,sample 10 crop.jpg,mistral-large-3:675b,main-attempt1,4691,,,2112,,40.778,
